x,y,cls,conf
13824,9216,0,0.15687835
14336,9216,0,0.20922722
14848,9216,0,0.23735487
15360,9216,0,0.22409791
15872,9216,0,0.13206615
16384,9216,0,0.20347004
16896,9216,0,0.348247
17408,9216,0,0.23065974
17920,9216,0,0.1956325
18432,9216,0,0.16244647
18944,9216,0,0.19852991
19456,9216,0,0.22605668
20480,9216,0,0.21493849
21504,9216,0,0.18520921
22016,9216,0,0.21891974
22528,9216,0,0.24585374
23040,9216,0,0.32060856
23552,9216,0,0.23144047
24064,9216,0,0.1466974
24576,9216,0,0.2258005
25088,9216,0,0.19345196
25600,9216,0,0.2937336
26112,9216,0,0.20922722
26624,9216,0,0.18068422
27136,9216,0,0.18694706
27648,9216,0,0.27062476
28160,9216,0,0.30699432
28672,9216,0,0.23200549
29184,9216,0,0.21866938
29696,9216,0,0.21436232
30208,9216,0,0.22652687
30720,9216,0,0.22858672
31232,9216,0,0.30704623
31744,9216,0,0.21337716
32256,9216,0,0.1744806
32768,9216,0,0.16796798
33280,9216,0,0.15987216
33792,9216,0,0.28726768
35840,9216,0,0.19076173
36352,9216,0,0.23326942
36864,9216,0,0.278821
37376,9216,0,0.22346178
37888,9216,0,0.18206169
38400,9216,0,0.18242551
38912,9216,0,0.238107
39424,9216,0,0.37261936
39936,9216,0,0.31695038
40448,9216,0,0.15354918
40960,9216,0,0.20315367
41472,9216,0,0.2516937
41984,9216,0,0.25418484
42496,9216,0,0.23673674
43008,9216,0,0.33867836
43520,9216,0,0.27299255
44032,9216,0,0.38329497
44544,9216,0,0.4220877
45056,9216,1,0.50956607
45568,9216,0,0.42691037
46080,9216,1,0.5682137
46592,9216,1,0.5184814
47104,9216,0,0.38061503
47616,9216,0,0.36846253
48128,9216,0,0.34903336
48640,9216,0,0.27401128
49152,9216,0,0.40277377
49664,9216,0,0.30141348
50176,9216,0,0.35054642
50688,9216,0,0.31137452
51200,9216,1,0.57284224
51712,9216,0,0.37782758
52224,9216,0,0.22312306
52736,9216,0,0.14217234
53248,9216,0,0.34270903
53760,9216,0,0.20036203
54272,9216,0,0.23605366
54784,9216,0,0.20410384
55296,9216,0,0.14369763
55808,9216,0,0.366023
56320,9216,0,0.3188562
56832,9216,0,0.2643109
57344,9216,0,0.22346178
57856,9216,0,0.2395272
58368,9216,0,0.21411571
58880,9216,0,0.1616508
59392,9216,0,0.26010746
59904,9216,0,0.29813364
60416,9216,0,0.17802513
60928,9216,0,0.25534365
61440,9216,0,0.18765317
61952,9216,0,0.17412922
62464,9216,0,0.20745546
62976,9216,0,0.24816959
63488,9216,0,0.2564594
64000,9216,0,0.177027
64512,9216,0,0.24229524
4608,9728,0,0.22194034
5120,9728,0,0.35588682
5632,9728,0,0.274789
6144,9728,0,0.3630539
6656,9728,0,0.22554451
7168,9728,0,0.33733994
7680,9728,0,0.1912144
8192,9728,0,0.11191885
8704,9728,0,0.1218424
9216,9728,0,0.1758563
9728,9728,0,0.17596246
10240,9728,0,0.2271263
10752,9728,0,0.2174206
11264,9728,0,0.19163007
11776,9728,0,0.20414351
12288,9728,0,0.1170665
12800,9728,0,0.12173796
13312,9728,0,0.10856642
13824,9728,0,0.11382562
14336,9728,0,0.24549176
14848,9728,0,0.14977993
15360,9728,0,0.116411984
15872,9728,0,0.19452079
16384,9728,0,0.14608724
16896,9728,0,0.15720153
17408,9728,0,0.16528974
17920,9728,0,0.3280987
18944,9728,0,0.33258134
19456,9728,0,0.23361893
19968,9728,0,0.21975584
20480,9728,0,0.15367614
20992,9728,0,0.20489818
24064,9728,0,0.24131055
24576,9728,0,0.23052977
25088,9728,0,0.20866227
25600,9728,0,0.22704059
26112,9728,0,0.20185255
26624,9728,0,0.17043896
27136,9728,0,0.22789866
27648,9728,0,0.25893456
28160,9728,0,0.27776676
28672,9728,0,0.3115316
29184,9728,0,0.22858672
29696,9728,0,0.2719762
30208,9728,0,0.2502251
30720,9728,0,0.2144857
31232,9728,0,0.15316877
31744,9728,0,0.18892181
32256,9728,0,0.25902823
32768,9728,0,0.25146386
33280,9728,0,0.2792139
34304,9728,0,0.38032728
34816,9728,0,0.22592856
35328,9728,0,0.2703839
35840,9728,0,0.12918286
36352,9728,0,0.15495056
36864,9728,0,0.27011907
37376,9728,0,0.2224889
37888,9728,0,0.14432968
38400,9728,0,0.1665398
38912,9728,0,0.25312182
39424,9728,0,0.20705435
